locale,key,lineno,text
ja,NO_PROJECT_WARN,1.0,%2z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306f\u5b58\u5728\u3057\u307e\u305b\u3093\u3002
ja,NO_SESSION_ERROR,1.0,%1z\u30bb\u30c3\u30b7\u30e7\u30f3\u306f\u5b58\u5728\u3057\u307e\u305b\u3093\u3002
ja,PROJECT_COPIED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#2s (%#1s) \u304c %#4s (%#3s) \u306b\u30b3\u30d4\u30fc\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_CREATED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u4f5c\u6210\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_DELETED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u524a\u9664\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_EXISTS_ERROR,1.0,%1z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306f\u3059\u3067\u306b\u5b58\u5728\u3057\u307e\u3059\u3002
ja,PROJECT_EXPORTED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u30a2\u30fc\u30ab\u30a4\u30d6\u30d5\u30a1\u30a4\u30eb %#2s \u306b\u30a8\u30af\u30b9\u30dd\u30fc\u30c8\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_EXPORT_WARNING,1.0,%2z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8%#1s \u3092\u30a2\u30fc\u30ab\u30a4\u30d6\u30d5\u30a1\u30a4\u30eb %#2s \u306b\u30a8\u30af\u30b9\u30dd\u30fc\u30c8\u3057\u3088\u3046\u3068\u3057\u307e\u3057\u305f\u304c\u3001\u5931\u6557\u3057\u307e\u3057\u305f\u3002
ja,PROJECT_IMPORTED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u30a2\u30fc\u30ab\u30a4\u30d6\u30d5\u30a1\u30a4\u30eb %#2s \u304b\u3089\u30a4\u30f3\u30dd\u30fc\u30c8\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_IMPORT_WARNING,1.0,%2z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u3092\u30a2\u30fc\u30ab\u30a4\u30d6\u30d5\u30a1\u30a4\u30eb %#2s \u304b\u3089\u30a4\u30f3\u30dd\u30fc\u30c8\u3057\u3088\u3046\u3068\u3057\u307e\u3057\u305f\u304c\u3001\u5931\u6557\u3057\u307e\u3057\u305f\u3002
ja,PROJECT_INPUT_CHANGED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306e\u5165\u529b\u30c7\u30fc\u30bf\u30bb\u30c3\u30c8\u306f %#2s \u306b\u5909\u66f4\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_LOADED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306e\u30de\u30af\u30ed\u5909\u6570\u304c\u30ed\u30fc\u30c9\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_MIGRATED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u79fb\u884c\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_MIGRATION_WARNING,1.0,%2z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306e\u79fb\u884c\u304c\u5931\u6557\u3057\u307e\u3057\u305f\u3002
