role,Term,numdocs
Adv,en totalité,391.0
Adv,en tout cas,411.0
Adv,en tout état de cause,845.0
Adv,en toute occasion,2.0
Prep,en train d',67.0
Prep,en train de,125.0
Prep,en train d’,23.0
Prep,en travers de,9.0
Prep,en travers des,2.0
Prep,en travers du,8.0
Adv,en tête,60.0
Adv,en vain,8.0
Adv,en vase clos,3.0
Prep,en vertu d',455.0
Prep,en vertu de,4003.0
Prep,en vertu des,1527.0
Prep,en vertu du,2017.0
Prep,en vertu d’,71.0
Adv,en vigueur,15039.0
Prep,en voie d',79.0
Prep,en voie de,131.0
Prep,en voie des,2.0
Prep,en voie d’,45.0
Adv,en vrac,372.0
Prep,en vue d',2749.0
Prep,en vue de,5558.0
Prep,en vue des,143.0
Prep,en vue du,450.0
Prep,en vue d’,627.0
Prep,en âge d',5.0
Prep,en âge de,48.0
Prep,en âge d’,1.0
Prep,en état d',25.0
Prep,en état de,124.0
Prep,en état des,23.0
Prep,en état du,21.0
Prep,en état d’,3.0
Prep,en-dessous d',2.0
Prep,en-dessous de,31.0
Prep,en-dessous des,2.0
Prep,en-dessous du,10.0
Prep,en-deçà d',1.0
Prep,en-deçà de,5.0
Prep,en-deçà des,1.0
Prep,en-deçà du,4.0
Adv,encore pas,3.0
Conj,encore qu',21.0
Conj,encore que,74.0
Conj,encore qu’,5.0
Adv,entre temps,13.0
Adv,et des poussières,2.0
Adv,et vice versa,52.0
Prep,etant donné,10.0
Conj,etant donné qu',4.0
Conj,etant donné que,33.0
Prep,eu égard au,186.0
