libname,memname,path,objname,fmtname,fmttype,source,minw,mind,maxw,maxd,defw,defd
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFDE,F,U,5.0,0.0,18.0,0.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIAFRDF,AFRDFDE,I,U,7.0,0.0,32.0,0.0,7.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFDN,F,U,1.0,0.0,64.0,0.0,2.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFDT,F,U,7.0,0.0,80.0,39.0,32.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIAFRDF,AFRDFDT,I,U,13.0,0.0,40.0,39.0,18.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFDWN,F,U,1.0,0.0,64.0,0.0,18.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFMN,F,U,1.0,0.0,64.0,0.0,18.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFMY,F,U,5.0,0.0,14.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIAFRDF,AFRDFMY,I,U,5.0,0.0,32.0,0.0,5.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFWDX,F,U,3.0,0.0,74.0,0.0,58.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFAFRDF,AFRDFWKX,F,U,2.0,0.0,76.0,0.0,56.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIANYDT,ANYDTDTE,I,U,5.0,0.0,60.0,0.0,9.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIANYDT,ANYDTDTM,I,U,1.0,0.0,60.0,0.0,19.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIANYDT,ANYDTTME,I,U,1.0,0.0,60.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601CI,I,U,10.0,0.0,26.0,6.0,16.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601DA,F,U,8.0,0.0,10.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601DA,I,U,8.0,0.0,10.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601DJ,I,U,10.0,0.0,26.0,6.0,16.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601DN,F,U,8.0,0.0,10.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601DN,I,U,8.0,0.0,10.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601DT,F,U,15.0,0.0,26.0,6.0,19.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601DT,I,U,14.0,0.0,26.0,6.0,19.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601DX,F,U,20.0,0.0,35.0,6.0,26.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601DX,I,U,15.0,0.0,35.0,6.0,26.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601DZ,F,U,20.0,0.0,35.0,6.0,26.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601DZ,I,U,15.0,0.0,35.0,6.0,26.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601LX,F,U,20.0,0.0,35.0,6.0,26.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601LX,I,U,15.0,0.0,35.0,6.0,26.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601LZ,F,U,9.0,0.0,20.0,6.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601LZ,I,U,7.0,0.0,20.0,6.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601TM,F,U,6.0,0.0,15.0,6.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601TM,I,U,6.0,0.0,15.0,6.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601TX,F,U,9.0,0.0,20.0,6.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601TX,I,U,7.0,0.0,20.0,6.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFB8601,B8601TZ,F,U,9.0,0.0,20.0,6.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIB8601,B8601TZ,I,U,7.0,0.0,20.0,6.0,14.0,0.0
,,,,BEST,F,B,1.0,0.0,32.0,31.0,12.0,0.0
,,,,BEST,I,B,1.0,0.0,32.0,31.0,12.0,0.0
,,,,BESTD,F,B,1.0,0.0,32.0,31.0,12.0,0.0
