Name,Name2,City,City2,MapIDNameAbrv,ZIP,ZCTA,First,Last
Ashwell,ASHWELL,Raleigh,RALEIGH,NC,27603.0,27603.0,8438.0,8441.0
Ashwick,ASHWICK,Cary,CARY,NC,27513.0,27513.0,8442.0,8443.0
Ashwood,ASHWOOD,Raleigh,RALEIGH,NC,27603.0,27603.0,8444.0,8451.0
Ashworth,ASHWORTH,Raleigh,RALEIGH,NC,27615.0,27615.0,8452.0,8453.0
Ashwyn,ASHWYN,Cary,CARY,NC,27518.0,27518.0,8454.0,8455.0
Askew,ASKEW,Raleigh,RALEIGH,NC,27608.0,27608.0,8456.0,8461.0
Askham,ASKHAM,Cary,CARY,NC,27511.0,27511.0,8462.0,8471.0
Aspen,ASPEN,Raleigh,RALEIGH,NC,27615.0,27615.0,8472.0,8473.0
Aspen Falls,ASPENFALLS,Willow Spring,WILLOWSPRING,NC,27592.0,27592.0,8474.0,8475.0
Aspen Glen,ASPENGLEN,Fuquay Varina,FUQUAYVARINA,NC,27526.0,27526.0,8476.0,8477.0
Aspen Grove,ASPENGROVE,Fuquay-Varina,FUQUAYVARINA,NC,27526.0,27526.0,8478.0,8483.0
Aspen Hollow,ASPENHOLLOW,Cary,CARY,NC,27518.0,27518.0,8484.0,8485.0
Aspen Meadow,ASPENMEADOW,Raleigh,RALEIGH,NC,27616.0,27616.0,8486.0,8489.0
Aspen Mountain,ASPENMOUNTAIN,Raleigh,RALEIGH,NC,27616.0,27616.0,8490.0,8491.0
Aspenridge,ASPENRIDGE,Holly Springs,HOLLYSPRINGS,NC,27540.0,27540.0,8492.0,8495.0
Aspenshire,ASPENSHIRE,Raleigh,RALEIGH,NC,27613.0,27613.0,8496.0,8497.0
Aspenwald,ASPENWALD,Raleigh,RALEIGH,NC,27614.0,27614.0,8498.0,8501.0
Assembly,ASSEMBLY,Cary,CARY,NC,27511.0,27511.0,8502.0,8503.0
Associate,ASSOCIATE,Raleigh,RALEIGH,NC,27603.0,27603.0,8504.0,8507.0
Assurance,ASSURANCE,Apex,APEX,NC,27523.0,27523.0,8508.0,8509.0
Asterwood,ASTERWOOD,Raleigh,RALEIGH,NC,27606.0,27606.0,8510.0,8517.0
Aston Woods,ASTONWOODS,Apex,APEX,NC,27523.0,27523.0,8518.0,8519.0
Astor,ASTOR,Cary,CARY,NC,27518.0,27518.0,8520.0,8521.0
Astoria,ASTORIA,Raleigh,RALEIGH,NC,27612.0,27612.0,8522.0,8525.0
Astor Valley,ASTORVALLEY,Apex,APEX,NC,27539.0,27539.0,8526.0,8527.0
Astro,ASTRO,Raleigh,RALEIGH,NC,27604.0,27604.0,8528.0,8529.0
Astwell,ASTWELL,Raleigh,RALEIGH,NC,27615.0,27615.0,8530.0,8531.0
Atamasco,ATAMASCO,Raleigh,RALEIGH,NC,27616.0,27616.0,8532.0,8535.0
Atando,ATANDO,Apex,APEX,NC,27502.0,27502.0,8536.0,8537.0
Atchison,ATCHISON,Garner,GARNER,NC,27529.0,27529.0,8538.0,8559.0
Athena,ATHENA,Fuquay Varina,FUQUAYVARINA,NC,27526.0,27526.0,8560.0,8561.0
Athena Woods,ATHENAWOODS,Raleigh,RALEIGH,NC,27606.0,27606.0,8562.0,8565.0
Athens,ATHENS,Raleigh,RALEIGH,NC,27606.0,27606.0,8566.0,8589.0
Athens Clark,ATHENSCLARK,Raleigh,RALEIGH,NC,27610.0,27610.0,8590.0,8593.0
Atherton Bridge,ATHERTONBRIDGE,Raleigh,RALEIGH,NC,27613.0,27613.0,8594.0,8595.0
Athlone,ATHLONE,Raleigh,RALEIGH,NC,27606.0,27606.0,8596.0,8597.0
Atkins,ATKINS,Raleigh,RALEIGH,NC,27610.0,27610.0,8598.0,8603.0
Atkins Farm,ATKINSFARM,Raleigh,RALEIGH,NC,27606.0,27606.0,8604.0,8605.0
Atkins Lake,ATKINSLAKE,Fuquay-Varina,FUQUAYVARINA,NC,27526.0,27526.0,8606.0,8607.0
Atkinson,ATKINSON,Apex,APEX,NC,27502.0,27502.0,8608.0,8609.0
Atlantic,ATLANTIC,Raleigh,RALEIGH,NC,27604.0,27604.0,8610.0,8663.0
Atlantic,ATLANTIC,Raleigh,RALEIGH,NC,27609.0,27609.0,8664.0,8670.0
Atlantic,ATLANTIC,Raleigh,RALEIGH,NC,27615.0,27615.0,8671.0,8672.0
Atlantic,ATLANTIC,Raleigh,RALEIGH,NC,27616.0,27616.0,8673.0,8681.0
Atlantic Springs,ATLANTICSPRINGS,Raleigh,RALEIGH,NC,27616.0,27609.0,8682.0,8683.0
Atley,ATLEY,Cary,CARY,NC,27513.0,27513.0,8684.0,8691.0
Atrium,ATRIUM,Raleigh,RALEIGH,NC,27606.0,27607.0,8692.0,8693.0
Atrium,ATRIUM,Raleigh,RALEIGH,NC,27607.0,27607.0,8694.0,8695.0
Attain,ATTAIN,Fuquay-Varina,FUQUAYVARINA,NC,27526.0,27526.0,8696.0,8699.0
Atterbury,ATTERBURY,Cary,CARY,NC,27518.0,27518.0,8700.0,8705.0
Atterbury,ATTERBURY,Raleigh,RALEIGH,NC,27604.0,27604.0,8706.0,8711.0
Attingham,ATTINGHAM,Raleigh,RALEIGH,NC,27615.0,27615.0,8712.0,8715.0
Attmore,ATTMORE,Cary,CARY,NC,27519.0,27519.0,8716.0,8717.0
Atwater,ATWATER,Raleigh,RALEIGH,NC,27607.0,27607.0,8718.0,8723.0
Atwell,ATWELL,Wendell,WENDELL,NC,27591.0,27591.0,8724.0,8725.0
