unicode,euc,ibm,pcibm
U+B0D8,B3C7,90A9,87D3
U+B020,B3C8,90B1,87D4
U+B020,B3C9,90B7,87D5
U+B108,B3CA,90E1,87D7
U+B109,B3CB,90E2,87D8
U+B10B,B3CC,90E4,87D9
U+B10C,B3CD,90E5,87DA
U+B110,B3CE,90E9,87DC
U+B113,B3D0,90EC,87DD
U+B118,B3D1,90F1,87DE
U+B119,B3D2,90F3,87DF
U+B11B,B3D3,90F5,87E0
U+B11C,B3D4,90F6,87E1
U+B11D,B3D5,90F7,87E2
U+B123,B3D6,90FD,87E4
U+B124,B3D7,9141,87E5
U+B125,B3D8,9142,87E6
U+B128,B3D9,9145,87E7
U+B12C,B3DA,9149,87E8
U+B134,B3DB,9151,87E9
U+B135,B3DC,9153,87EA
U+B137,B3DD,9155,87EB
U+B139,B3DF,9157,87EC
U+B140,B320,9161,87ED
U+B141,B320,9162,87EE
U+B144,B320,9165,87EF
U+B148,B320,9169,87F1
U+B150,B320,9171,87F2
U+B151,B320,9173,87F3
U+B154,B320,9176,87F5
U+B155,B320,9177,87F6
U+B158,B320,917A,87F7
U+B15C,B320,9181,87F9
U+B178,B320,91A1,87FB
U+B179,B320,91A2,87FC
U+B17C,B320,91A5,8841
U+B180,B320,91A9,8842
U+B120,B320,91B1,8843
U+B120,B320,91B3,8844
U+B120,B320,91B5,8845
U+B120,B320,91B7,8846
U+B120,B320,91BC,8847
U+B120,B320,91BD,8848
U+B120,B320,91C1,8849
U+B120,B320,91C8,884A
U+B1A8,B320,91D6,884C
U+B1CC,B320,9241,884E
