CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCLAS,PREDROLE,SUCCCLAS,SUCCROLE,VERB,PREDCARD,SUCCCARD
OMSassocmgr,Email USES Person,1357142922.638,1357142922.638,,,A0000001.A400004J,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSemail,EMAILADDRESSES,OMSperson,PERSONS,USES,0:m,0:m
OMSassocmgr,Feature USES FeatureMap,1357142922.628,1357142922.628,,,A0000001.A400004K,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSfeature,FEATURESOURCES,OMSfmap,SOURCEFEATUREMAPS,USES,0:m,0:m
OMSassocmgr,DELETED *** File IS_RELATED_TO_0_N Option,1311609069.90324,,,,A0000001.A400004L,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSfile,ASSOCIATEDFILE,OMSoptions,OPTIONS,DELETED,0:m,0:1
OMSassocmgr,File USES Directory,1357142922.638,1357142922.638,,,A0000001.A400004M,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSfile,FILES,OMSdirectry,DIRECTORIES,USES,0:m,0:m
OMSassocmgr,File IS_CONTAINED_IN_0_1 ExternalTable,1357142922.628,1357142922.628,,,A0000001.A400004N,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSfile,OWNINGFILE,OMSetable,ASSOCIATEDEXTERNALTABLE,IS_CONTAINED_IN_0_1,0:1,1:1
OMSassocmgr,DELETED *** File IS_CONTAINED_IN_0_1 InformationFile,1316012620.55255,,,,A0000001.A400004O,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSfile,OWNINGFILE,OMSinfofile,ASSOCIATEDINFORMATIONFILE,DELETED,0:1,1:1
OMSassocmgr,File USES SASClientConnection,1357142922.638,1357142922.638,,,A0000001.A400004P,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSfile,SCRIPTFILES,OMSscconn,SCRIPTEDCONNECTIONS,USES,0:m,0:m
OMSassocmgr,ForeignKey HAS DataTable,1357142922.628,1357142922.628,,,A0000001.A400004Q,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSfkey,FOREIGNKEYS,OMSdtable,TABLE,HAS,1:1,0:m
OMSassocmgr,FeatureMap CONTAINS ClassifierMap,1357142922.628,1357142922.628,,,A0000001.A400004R,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSfmap,FEATUREMAPS,OMScmap,ASSOCIATEDCLASSIFIERMAP,CONTAINS,0:1,0:m
OMSassocmgr,FeatureMap USES Feature,1357142922.628,1357142922.628,,,A0000001.A400004S,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSfmap,TARGETFEATUREMAPS,OMSfeature,FEATURETARGETS,USES,0:m,0:m
OMSassocmgr,Group USES SoftwareComponent,1357142922.638,1357142922.638,,,A0000001.A400004T,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSgroup,SOFTWAREGROUPS,OMSsoftcomp,SOFTWARECOMPONENTS,USES,0:m,0:m
OMSassocmgr,DELETED *** Index IS_RELATED_TO_0_N Option,1311609069.90336,,,,A0000001.A400004U,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSindex,ASSOCIATEDINDEX,OMSoptions,OPTIONS,DELETED,0:m,0:1
OMSassocmgr,DELETED *** Index HAS PhysicalTable,1303912043.83547,,,,A0000001.A400004V,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSindex,INDEXES,OMSptable,OWNINGPHSYICALTABLE,DELETED,1:1,0:m
OMSassocmgr,JoinTable IS_CONTAINED_IN_0_1 Join,1357142922.628,1357142922.628,,,A0000001.A400004W,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSjtable,OWNINGJOINTABLE,OMSjoin,TABLEJOIN,IS_CONTAINED_IN_0_1,0:1,1:1
OMSassocmgr,Key HAS_1_N_OF Column,1357142922.628,1357142922.628,,,A0000001.A400004X,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSkey,KEYS,OMSwcolumn,KEYEDCOLUMNS,HAS_1_N_OF,1:m,0:m
OMSassocmgr,KeyAssociation HAS ForeignKey,1357142922.628,1357142922.628,,,A0000001.A400004Y,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSkeyassoc,KEYASSOCIATIONS,OMSfkey,OWNINGFOREIGNKEY,HAS,1:1,0:m
